"id","name","shortname","qualtype","tech_type"
2,"bachelor of architecture","b arch","degree","non-technical"
3,"bachelor of arts","ba","degree","non-technical"
4,"bachelor of arts & bachelor of legislative law","ba llb","degree","non-technical"
5,"bachelor of ayurvedic medicine and surgery","bams","degree","non-technical"
6,"bachelor of business administration","bba","degree","non-technical"
7,"bachelor of business administration and law","bba llb","degree","non-technical"
8,"bachelor of business management","bbm","degree","non-technical"
9,"bachelor of business studies","bbus","degree","non-technical"
10,"bachelor of commerce","bcom","degree","non-technical"
11,"bachelor of commerce & law","b com llb","degree","non-technical"
12,"bachelor of communication & journalism","bcj","degree","non-technical"
13,"bachelor of computer application","bca","degree","technical"
14,"bachelor of dental surgery","bds","degree","non-technical"
15,"bachelor of design","b desgn","degree","non-technical"
16,"bachelor of education","b ed","degree","non-technical"
17,"bachelor of engineering","be","degree","technical"
18,"bachelor of fashion technology","bft","degree","non-technical"
19,"bachelor of fine arts","bfa","degree","non-technical"
20,"bachelor of fisheries science","bfsc","degree","non-technical"
21,"bachelor of homeopathic medicine & surgery","bhms","degree","non-technical"
22,"bachelor of hotel management","bhm","degree","non-technical"
23,"bachelor of lab technology","blt","degree","non-technical"
24,"bachelor of law","llb","degree","non-technical"
25,"bachelor of library sciencce","bls","degree","non-technical"
26,"bachelor of medicine and bachelor of surgery","mbbs","degree","non-technical"
27,"bachelor of naturopathy and yogic science","bnys","degree","non-technical"
28,"bachelor of nursing","bng","degree","non-technical"
29,"bachelor of performing arts","bpa","degree","non-technical"
30,"bachelor of pharmacy","b pharma","degree","non-technical"
31,"bachelor of physical education","b ped","degree","non-technical"
33,"bachelor of physiotherapy","bpt","degree","non-technical"
34,"bachelor of planning","b plan","degree","non-technical"
35,"bachelor of science","bsc","degree","technical"
36,"bachelor of social work","bsw","degree","non-technical"
37,"bachelor of technology","btech","degree","technical"
38,"bachelor of tourism & hospitality management","bth","degree","non-technical"
39,"bachelor of tourism administration","bta","degree","non-technical"
40,"bachelor of travel & tourism management","bttm","degree","non-technical"
41,"bachelor of unani medicine & surgery","bums","degree","non-technical"
42,"bachelor of veterinary science","bvsc","degree","non-technical"
43,"bachelor of veterinary science & animal husbandry","bvsc & ah","degree","non-technical"
44,"bachelor of visual arts","bva","degree","non-technical"
45,"bachelor of vocation","bvoc","degree","non-technical"
47,"bachelor in hospital administration","bha","degree","non-technical"
48,"bachelor of science in public health","bph","degree","non-technical"
49,"diploma in education","ded","diploma","non-technical"
50,"diploma in pharmacy","d pharma","diploma","non-technical"
51,"diploma in anaesthesia","da","diploma","non-technical"
52,"diploma in forensic medicine","dfm","diploma","non-technical"
53,"diploma in ophthalmic medicine and surgery","doms","diploma","non-technical"
54,"doctor of medicine","dm","degree","non-technical"
55,"master of arts","ma","masters","non-technical"
56,"master of commerce","mcom","masters","non-technical"
57,"master of science","msc","masters","technical"
58,"master of social work","msw","masters","non-technical"
60,"medical imaging technology","mit","degree","non-technical"
61,"bachelor of medical laboratory technology","mlt","degree","non-technical"
62,"nursery training","nst","degree","non-technical"
63,"diploma","diploma","diploma","technical"
64,"iti","iti","iti","non-technical"
67,"master of architechture","march","masters","non-technical"
68,"master of business administration","mba","masters","non-technical"
69,"master of business economics","mbe","masters","non-technical"
70,"master of business studies","mbs","masters","non-technical"
71,"master of communication journalism","mcj","masters","non-technical"
72,"master of computer application","mca","masters","technical"
73,"master of dental surgery","mds","masters","non-technical"
74,"master of design","m design","masters","non-technical"
75,"master of education","m ed","masters","non-technical"
76,"master of engineering","me","masters","technical"
77,"master of fashion management","mfm","masters","non-technical"
78,"master of fashion technology","mft","masters","non-technical"
79,"master of finance and accounting","mfa","masters","non-technical"
80,"master of health administration","mha","masters","non-technical"
81,"master of hospital management","mhm","masters","non-technical"
82,"master of hotel management","mhm","masters","non-technical"
84,"master of management studies","mms","masters","non-technical"
85,"master of performing arts","mpa","masters","non-technical"
86,"master of pharmacy","m pharma","masters","non-technical"
87,"master of philosophy","m phil","masters","non-technical"
88,"master of physical education","m ped","masters","non-technical"
89,"master of physiotherapy","mpt","masters","non-technical"
91,"master of technology","mtech","masters","technical"
92,"master of tourism administration","mta","masters","non-technical"
93,"master of veterinary science","mvsc","masters","non-technical"
94,"master in public health","mph","masters","non-technical"
95,"master of law","llm","masters","non-technical"
97,"bachelor of computer science","BCS","degree","technical"
98,"bachelor of science in agriculture","BSCAG","degree","non-technical"
99,"bachelor of management studies","BMS","degree","non-technical"
100,"bachelor of mass media","BMM","degree","non-technical"
101,"bachelor of optometry","B Optom","degree","non-technical"
102,"post graduate diploma in management","PGDM","masters","technical"
103,"integrated master of technology","Integrated MTech","degree","technical"
104,"integrated master of technology","Integrated MTech","masters","technical"
105,"master of vocation","MVoc","masters","non-technical"
106,"bachelor of hotel management and catering technology","BHMCT","degree","non-technical"
107,"master of library and information science","MLIS","masters","non-technical"
108,"post graduate diploma in computer application","PGDCA","masters","technical"
109,"doctor of pharmacy","Pharm D","degree","non-technical"
110,"bachelor of multimedia","BMM","degree","non-technical"
111,"doctor of medicine in homoeopathy","","masters","non-technical"
112,"master of computer management","MCM","masters","technical"
113,"bachelor in financial management","BFM","degree","non-technical"
114,"post graduate diploma in educational management and administration","PGDEMA","masters","non-technical"
121,"master of computer science","MCS","masters","non-technical"
122,"master of labour studies","MLS","masters","non-technical"
