"id","priority","name","details","created_at","updated_at","disable"
1,True,"a p goyal shimla university","{""state"": {""id"": 20, ""name"": ""himachal pradesh"", ""created"": ""2023-01-11T15:30:33.849431Z"", ""details"": {""country"": {""id"": 1, ""name"": ""india"", ""created"": ""2022-11-29T10:37:24.051069Z"", ""details"": {}, ""updated"": ""2022-11-29T10:37:24.051069Z"", ""priority"": true}, ""state_code"": ""2""}, ""updated"": ""2023-01-11T15:30:33.849431Z"", ""priority"": false}, ""address"": ""Shoghi-Mehli By Pass Road, Lower Panthaghati, Shimla"", ""comment"": ""A P GOYAL SHIMLA UNIVERSITY"", ""country"": {""id"": 1, ""name"": ""india""}, ""website"": ""agu.edu.in"", ""district"": {""id"": 219, ""name"": ""shimla"", ""created"": ""2023-01-11T15:33:23.912369Z"", ""details"": {""state"": {""id"": 20, ""name"": ""himachal pradesh"", ""created"": ""2023-01-11T15:30:33.849431Z"", ""details"": {""country"": {""id"": 1, ""name"": ""india"", ""created"": ""2022-11-29T10:37:24.051069Z"", ""details"": {}, ""updated"": ""2022-11-29T10:37:24.051069Z"", ""priority"": true}, ""state_code"": ""2""}, ""updated"": ""2023-01-11T15:30:33.849431Z"", ""priority"": false}}, ""updated"": ""2023-01-11T15:33:23.912369Z"", ""priority"": false}, ""shortname"": ""APGSU"", ""declared_year"": """", ""specialized_in"": """", ""final_sem_month"": """", ""university_type"": ""Private University"", ""qualification_type"": null}","2023-01-11 15:38:30.543067+00","2024-02-03 07:56:31.630621+00",False
2,True,"a p j abdul kalam technological university - kerala","{""state"": {""id"": 24, ""name"": ""kerala"", ""created"": ""2023-01-11T15:30:33.855559Z"", ""details"": {""country"": {""id"": 1, ""name"": ""india"", ""created"": ""2022-11-29T10:37:24.051069Z"", ""details"": {}, ""updated"": ""2022-11-29T10:37:24.051069Z"", ""priority"": true}, ""state_code"": ""32""}, ""updated"": ""2023-01-11T15:30:33.855559Z"", ""priority"": false}, ""address"": ""CET CAMPUS, TRIVANDRUM, TRIVANDRUM"", ""comment"": ""A P J ABDUL KALAM TECHNOLOGICAL UNIVERSITY"", ""country"": {""id"": 1, ""name"": ""india""}, ""website"": ""www.ktu.edu.in"", ""district"": {""id"": 309, ""name"": ""thiruvananthapuram"", ""created"": ""2023-01-11T15:33:24.036704Z"", ""details"": {""state"": {""id"": 24, ""name"": ""kerala"", ""created"": ""2023-01-11T15:30:33.855559Z"", ""details"": {""country"": {""id"": 1, ""name"": ""india"", ""created"": ""2022-11-29T10:37:24.051069Z"", ""details"": {}, ""updated"": ""2022-11-29T10:37:24.051069Z"", ""priority"": true}, ""state_code"": ""32""}, ""updated"": ""2023-01-11T15:30:33.855559Z"", ""priority"": false}}, ""updated"": ""2023-01-11T15:33:24.036704Z"", ""priority"": false}, ""shortname"": ""APJAKTU"", ""declared_year"": """", ""specialized_in"": """", ""final_sem_month"": """", ""university_type"": ""Private University"", ""qualification_type"": null}","2023-01-11 15:38:30.546129+00","2024-07-11 10:11:01.491232+00",False
3,True,"aaft university","{""state"": {""id"": 15, ""name"": ""chhattisgarh"", ""created"": ""2023-01-11T15:30:33.841531Z"", ""details"": {""country"": {""id"": 1, ""name"": ""india"", ""created"": ""2022-11-29T10:37:24.051069Z"", ""details"": {}, ""updated"": ""2022-11-29T10:37:24.051069Z"", ""priority"": true}, ""state_code"": ""22""}, ""updated"": ""2023-01-11T15:30:33.841531Z"", ""priority"": false}, ""address"": ""Vill. Manth, Kharora, District ? Raipur,Chhattisgarh- 493225"", ""comment"": ""AAFT UNIVERSITY"", ""country"": {""id"": 1, ""name"": ""india""}, ""website"": ""https://aaft.edu.in/"", ""district"": {""id"": 136, ""name"": ""raipur"", ""created"": ""2023-01-11T15:33:23.802112Z"", ""details"": {""state"": {""id"": 15, ""name"": ""chhattisgarh"", ""created"": ""2023-01-11T15:30:33.841531Z"", ""details"": {""country"": {""id"": 1, ""name"": ""india"", ""created"": ""2022-11-29T10:37:24.051069Z"", ""details"": {}, ""updated"": ""2022-11-29T10:37:24.051069Z"", ""priority"": true}, ""state_code"": ""22""}, ""updated"": ""2023-01-11T15:30:33.841531Z"", ""priority"": false}}, ""updated"": ""2023-01-11T15:33:23.802112Z"", ""priority"": false}, ""shortname"": ""AU"", ""declared_year"": """", ""specialized_in"": """", ""final_sem_month"": """", ""university_type"": ""Private University"", ""qualification_type"": null}","2023-01-11 15:38:30.548632+00","2024-02-03 07:57:21.553231+00",False
4,True,"abhilashi university","{""state"": {""id"": 20, ""name"": ""himachal pradesh"", ""created"": ""2023-01-11T15:30:33.849431Z"", ""details"": {""country"": {""id"": 1, ""name"": ""india"", ""created"": ""2022-11-29T10:37:24.051069Z"", ""details"": {}, ""updated"": ""2022-11-29T10:37:24.051069Z"", ""priority"": true}, ""state_code"": ""2""}, ""updated"": ""2023-01-11T15:30:33.849431Z"", ""priority"": false}, ""address"": ""CHAIL CHOWK, TEHSIL CHACHYOT, DISTT. MANDI (HP), CHAILCHOWK"", ""comment"": ""ABHILASHI UNIVERSITY"", ""country"": {""id"": 1, ""name"": ""india""}, ""website"": ""www.abhilashiuniversity.ac.in"", ""district"": {""id"": 218, ""name"": ""mandi"", ""created"": ""2023-01-11T15:33:23.911053Z"", ""details"": {""state"": {""id"": 20, ""name"": ""himachal pradesh"", ""created"": ""2023-01-11T15:30:33.849431Z"", ""details"": {""country"": {""id"": 1, ""name"": ""india"", ""created"": ""2022-11-29T10:37:24.051069Z"", ""details"": {}, ""updated"": ""2022-11-29T10:37:24.051069Z"", ""priority"": true}, ""state_code"": ""2""}, ""updated"": ""2023-01-11T15:30:33.849431Z"", ""priority"": false}}, ""updated"": ""2023-01-11T15:33:23.911053Z"", ""priority"": false}, ""shortname"": ""AU"", ""declared_year"": """", ""specialized_in"": """", ""final_sem_month"": """", ""university_type"": ""Private University"", ""qualification_type"": null}","2023-01-11 15:38:30.550846+00","2024-02-03 07:57:30.550349+00",False
5,True,"academy of maritime education and training","{""state"": {""id"": 37, ""name"": ""tamil nadu"", ""created"": ""2023-01-11T15:30:33.874584Z"", ""details"": {""country"": {""id"": 1, ""name"": ""india"", ""created"": ""2022-11-29T10:37:24.051069Z"", ""details"": {}, ""updated"": ""2022-11-29T10:37:24.051069Z"", ""priority"": true}, ""state_code"": ""33""}, ""updated"": ""2023-01-11T15:30:33.874584Z"", ""priority"": false}, ""address"": ""135, East Coast Road, Kanathur, Chennai"", ""comment"": ""Academy of Maritime Education and Training"", ""country"": {""id"": 1, ""name"": ""india""}, ""website"": ""www.ametuniv.ac.in"", ""district"": {""id"": 557, ""name"": ""kanchipuram"", ""created"": ""2023-01-11T15:33:24.379208Z"", ""details"": {""state"": {""id"": 37, ""name"": ""tamil nadu"", ""created"": ""2023-01-11T15:30:33.874584Z"", ""details"": {""country"": {""id"": 1, ""name"": ""india"", ""created"": ""2022-11-29T10:37:24.051069Z"", ""details"": {}, ""updated"": ""2022-11-29T10:37:24.051069Z"", ""priority"": true}, ""state_code"": ""33""}, ""updated"": ""2023-01-11T15:30:33.874584Z"", ""priority"": false}}, ""updated"": ""2023-01-11T15:33:24.379208Z"", ""priority"": false}, ""shortname"": ""AMET"", ""declared_year"": """", ""specialized_in"": """", ""final_sem_month"": """", ""university_type"": ""Deemed University"", ""qualification_type"": null}","2023-01-11 15:38:30.553862+00","2024-02-03 07:57:52.991125+00",False
6,True,"academy of scientific & innovative research","{""state"": {""id"": 40, ""name"": ""uttar pradesh"", ""created"": ""2023-01-11T15:30:33.879079Z"", ""details"": {""country"": {""id"": 1, ""name"": ""india"", ""created"": ""2022-11-29T10:37:24.051069Z"", ""details"": {}, ""updated"": ""2022-11-29T10:37:24.051069Z"", ""priority"": true}, ""state_code"": ""9""}, ""updated"": ""2023-01-11T15:30:33.879079Z"", ""priority"": false}, ""address"": ""AcSIR Headquarters, CSIR-Human Resource Development Centre (HRDC) Campus, Sector-19, Kamla Nehru Nagar, Ghaziabad"", ""comment"": ""ACADEMY OF SCIENTIFIC & INNOVATIVE RESEARCH"", ""country"": {""id"": 1, ""name"": ""india""}, ""website"": ""http://acsir.res.in"", ""district"": {""id"": 656, ""name"": ""ghaziabad"", ""created"": ""2023-01-11T15:33:24.517126Z"", ""details"": {""state"": {""id"": 40, ""name"": ""uttar pradesh"", ""created"": ""2023-01-11T15:30:33.879079Z"", ""details"": {""country"": {""id"": 1, ""name"": ""india"", ""created"": ""2022-11-29T10:37:24.051069Z"", ""details"": {}, ""updated"": ""2022-11-29T10:37:24.051069Z"", ""priority"": true}, ""state_code"": ""9""}, ""updated"": ""2023-01-11T15:30:33.879079Z"", ""priority"": false}}, ""updated"": ""2023-01-11T15:33:24.517126Z"", ""priority"": false}, ""shortname"": ""ASIR"", ""declared_year"": """", ""specialized_in"": """", ""final_sem_month"": """", ""university_type"": ""Private University"", ""qualification_type"": null}","2023-01-11 15:38:30.556491+00","2024-02-03 07:59:32.252332+00",False
7,True,"acharya nagarjuna university","{""state"": {""id"": 11, ""name"": ""andhra pradesh"", ""created"": ""2023-01-11T15:30:33.832202Z"", ""details"": {""country"": {""id"": 1, ""name"": ""india"", ""created"": ""2022-11-29T10:37:24.051069Z"", ""details"": {}, ""updated"": ""2022-11-29T10:37:24.051069Z"", ""priority"": true}, ""state_code"": ""37""}, ""updated"": ""2023-01-11T15:30:33.832202Z"", ""priority"": false}, ""address"": ""Nagarjunanagar-522510, Guntur, Guntur"", ""comment"": ""Acharya Nagarjuna University"", ""country"": {""id"": 1, ""name"": ""india""}, ""website"": ""www.anu.ac.in"", ""district"": {""id"": 7, ""name"": ""guntur"", ""created"": ""2023-01-11T15:33:23.613097Z"", ""details"": {""state"": {""id"": 11, ""name"": ""andhra pradesh"", ""created"": ""2023-01-11T15:30:33.832202Z"", ""details"": {""country"": {""id"": 1, ""name"": ""india"", ""created"": ""2022-11-29T10:37:24.051069Z"", ""details"": {}, ""updated"": ""2022-11-29T10:37:24.051069Z"", ""priority"": true}, ""state_code"": ""37""}, ""updated"": ""2023-01-11T15:30:33.832202Z"", ""priority"": false}}, ""updated"": ""2023-01-11T15:33:23.613097Z"", ""priority"": false}, ""shortname"": ""ANU"", ""declared_year"": """", ""specialized_in"": """", ""final_sem_month"": """", ""university_type"": ""State Govt University"", ""qualification_type"": null}","2023-01-11 15:38:30.55884+00","2024-02-03 07:59:43.757441+00",False
8,True,"acharya narendra deva university of agriculture & technology","{""state"": {""id"": 40, ""name"": ""uttar pradesh"", ""created"": ""2023-01-11T15:30:33.879079Z"", ""details"": {""country"": {""id"": 1, ""name"": ""india"", ""created"": ""2022-11-29T10:37:24.051069Z"", ""details"": {}, ""updated"": ""2022-11-29T10:37:24.051069Z"", ""priority"": true}, ""state_code"": ""9""}, ""updated"": ""2023-01-11T15:30:33.879079Z"", ""priority"": false}, ""address"": ""Acharya Narendra Deva University of Agriculture & Technology, Kumarganj, Ayodhya"", ""comment"": ""Acharya Narendra Deva University of Agriculture & Technology"", ""country"": {""id"": 1, ""name"": ""india""}, ""website"": ""www.nduat.org"", ""district"": {""id"": 633, ""name"": ""ayodhya"", ""created"": ""2023-01-11T15:33:24.486518Z"", ""details"": {""state"": {""id"": 40, ""name"": ""uttar pradesh"", ""created"": ""2023-01-11T15:30:33.879079Z"", ""details"": {""country"": {""id"": 1, ""name"": ""india"", ""created"": ""2022-11-29T10:37:24.051069Z"", ""details"": {}, ""updated"": ""2022-11-29T10:37:24.051069Z"", ""priority"": true}, ""state_code"": ""9""}, ""updated"": ""2023-01-11T15:30:33.879079Z"", ""priority"": false}}, ""updated"": ""2023-01-11T15:33:24.486518Z"", ""priority"": false}, ""shortname"": ""ANDUAT"", ""declared_year"": """", ""specialized_in"": """", ""final_sem_month"": """", ""university_type"": ""State Govt University"", ""qualification_type"": null}","2023-01-11 15:38:30.561167+00","2024-02-03 08:01:11.123532+00",False
9,True,"acharya ng ranga agricultural university","{""state"": {""id"": 11, ""name"": ""andhra pradesh"", ""created"": ""2023-01-11T15:30:33.832202Z"", ""details"": {""country"": {""id"": 1, ""name"": ""india"", ""created"": ""2022-11-29T10:37:24.051069Z"", ""details"": {}, ""updated"": ""2022-11-29T10:37:24.051069Z"", ""priority"": true}, ""state_code"": ""37""}, ""updated"": ""2023-01-11T15:30:33.832202Z"", ""priority"": false}, ""address"": ""Administrative Office, Lam, Guntur-522034, Guntur"", ""comment"": ""Acharya NG Ranga Agricultural University"", ""country"": {""id"": 1, ""name"": ""india""}, ""website"": ""www.angrau.ac.in"", ""district"": {""id"": 7, ""name"": ""guntur"", ""created"": ""2023-01-11T15:33:23.613097Z"", ""details"": {""state"": {""id"": 11, ""name"": ""andhra pradesh"", ""created"": ""2023-01-11T15:30:33.832202Z"", ""details"": {""country"": {""id"": 1, ""name"": ""india"", ""created"": ""2022-11-29T10:37:24.051069Z"", ""details"": {}, ""updated"": ""2022-11-29T10:37:24.051069Z"", ""priority"": true}, ""state_code"": ""37""}, ""updated"": ""2023-01-11T15:30:33.832202Z"", ""priority"": false}}, ""updated"": ""2023-01-11T15:33:23.613097Z"", ""priority"": false}, ""shortname"": ""ANGRAU"", ""declared_year"": """", ""specialized_in"": """", ""final_sem_month"": """", ""university_type"": ""State Govt University"", ""qualification_type"": null}","2023-01-11 15:38:30.56361+00","2024-02-03 08:01:35.236909+00",False
10,True,"adamas university","{""state"": {""id"": 42, ""name"": ""west bengal"", ""created"": ""2023-01-11T15:30:33.881997Z"", ""details"": {""country"": {""id"": 1, ""name"": ""india"", ""created"": ""2022-11-29T10:37:24.051069Z"", ""details"": {}, ""updated"": ""2022-11-29T10:37:24.051069Z"", ""priority"": true}, ""state_code"": ""19""}, ""updated"": ""2023-01-11T15:30:33.881997Z"", ""priority"": false}, ""address"": ""Adamas Knowledge City, Barasat-Barrackpore, Barbaria, P.O-Jagannathpur,"", ""comment"": ""ADAMAS UNIVERSITY"", ""country"": {""id"": 1, ""name"": ""india""}, ""website"": ""www.adamasuniversity.ac.in"", ""district"": {""id"": 725, ""name"": ""kolkata"", ""created"": ""2023-01-11T15:33:24.608962Z"", ""details"": {""state"": {""id"": 42, ""name"": ""west bengal"", ""created"": ""2023-01-11T15:30:33.881997Z"", ""details"": {""country"": {""id"": 1, ""name"": ""india"", ""created"": ""2022-11-29T10:37:24.051069Z"", ""details"": {}, ""updated"": ""2022-11-29T10:37:24.051069Z"", ""priority"": true}, ""state_code"": ""19""}, ""updated"": ""2023-01-11T15:30:33.881997Z"", ""priority"": false}}, ""updated"": ""2023-01-11T15:33:24.608962Z"", ""priority"": false}, ""shortname"": ""AU"", ""declared_year"": """", ""specialized_in"": """", ""final_sem_month"": """", ""university_type"": ""Private University"", ""qualification_type"": null}","2023-01-11 15:38:30.565561+00","2024-02-03 08:01:44.45191+00",False
